iter	Logloss
0	0.5864931505
1	0.5128768311
2	0.4529204712
3	0.4031770494
4	0.3651944038
5	0.3338811646
6	0.3124075385
7	0.2965032891
8	0.284496955
9	0.2738152941
10	0.2645991753
11	0.2560925564
12	0.25079324
13	0.2451097683
14	0.2410010444
15	0.2368236694
16	0.2338112454
17	0.2309278225
18	0.2280089111
19	0.2254847276
20	0.2227570258
21	0.2206398688
22	0.2188116455
23	0.2169015469
24	0.2154737888
25	0.2140696445
26	0.2120757175
27	0.2108545837
28	0.2093970879
29	0.2080899794
30	0.2070939704
31	0.2061011251
32	0.2050690816
33	0.2035467021
34	0.202392256
35	0.2015367499
36	0.2008801812
37	0.2001013014
38	0.198972012
39	0.1981253391
40	0.1967852173
41	0.1958699273
42	0.1952091302
43	0.1946397502
44	0.1940948893
45	0.1931817593
46	0.19253302
47	0.192177592
48	0.1916160211
49	0.1910592109
50	0.1904622938
51	0.1898481852
52	0.1893712735
53	0.1880625678
54	0.1876228943
55	0.1872641229
56	0.1869544067
57	0.1865657145
58	0.1862567274
59	0.1858996582
60	0.1854548035
61	0.1849980299
62	0.1846609938
63	0.1835793932
64	0.183357232
65	0.1830197991
66	0.1824984199
67	0.1821730584
68	0.1815204502
69	0.1812021993
70	0.1809607578
71	0.1807319505
72	0.1803509521
73	0.1801423611
74	0.1799964261
75	0.1797251824
76	0.1795486077
77	0.1793940938
78	0.1791716546
79	0.1789459161
80	0.1786780294
81	0.1783564623
82	0.1781141154
83	0.1779169718
84	0.1776316494
85	0.177289405
86	0.1770315857
87	0.1768818122
88	0.1767515767
89	0.1765630968
90	0.1764163852
91	0.1756301202
92	0.1754850464
93	0.1753665229
94	0.1752564765
95	0.1751343045
96	0.1749482456
97	0.1747319946
98	0.174566647
99	0.1743540887
100	0.1741269124
101	0.1740372789
102	0.1738429599
103	0.1736464199
104	0.1733946465
105	0.1731453315
106	0.1729918281
107	0.172748386
108	0.1726329481
109	0.172477183
110	0.1723349406
111	0.172190467
112	0.1720902405
113	0.1714464281
114	0.1712938605
115	0.1712202623
116	0.1710579936
117	0.1708980103
118	0.1707815314
119	0.1707067905
120	0.170588423
121	0.1704778951
122	0.1703868646
123	0.1703285421
124	0.1702549947
125	0.1700817091
126	0.1698380669
127	0.169708686
128	0.1696355591
129	0.1695413784
130	0.1694528876
131	0.1693361681
132	0.1691935696
133	0.1691256578
134	0.1689235874
135	0.1688543769
136	0.1687944438
137	0.16863463
138	0.1685840827
139	0.1685200772
140	0.1683361376
141	0.1682713352
142	0.1682209947
143	0.1681558465
144	0.1680462816
145	0.1679149034
146	0.1677673475
147	0.1676650018
148	0.1676004367
149	0.1675237868
150	0.1674044562
151	0.1673184272
152	0.1671805047
153	0.1671101549
154	0.1670732185
155	0.1669814216
156	0.1668937717
157	0.1667881639
158	0.1667330729
159	0.1666151598
160	0.1665364041
161	0.1664213291
162	0.1663452148
163	0.1662599792
164	0.1662120734
165	0.1660725606
166	0.1659763828
167	0.165900784
168	0.165782447
169	0.1656486104
170	0.1655900336
171	0.1654426168
172	0.1653971592
173	0.1653419732
174	0.1652965054
175	0.1652099135
176	0.1650761922
177	0.1648899468
178	0.1647786119
179	0.1647134806
180	0.16462559
181	0.1645590719
182	0.1644231873
183	0.164382036
184	0.1643324212
185	0.1641632012
186	0.1641275533
187	0.1640339898
188	0.1639257779
189	0.1638882378
190	0.1638188985
191	0.1637115207
192	0.1636494208
193	0.1635194363
194	0.1634150458
195	0.1632058784
196	0.1631262105
197	0.1630523716
198	0.1627517734
199	0.1626535814
200	0.1625994263
201	0.1625273505
202	0.1624673903
203	0.1623640951
204	0.1622193264
205	0.162156684
206	0.1621032918
207	0.162024214
208	0.1619313151
209	0.1618491652
210	0.1617431573
211	0.1616663683
212	0.161603536
213	0.1615547316
214	0.1614473301
215	0.1613854031
216	0.1613350762
217	0.1611334669
218	0.161047821
219	0.160922482
220	0.1608448249
221	0.1607384745
222	0.1606326938
223	0.1604658271
224	0.1604251811
225	0.1603099603
226	0.160183865
227	0.1600831095
228	0.1599568108
229	0.1599022454
230	0.1598427768
231	0.159760498
232	0.1597012736
233	0.1595980259
234	0.1595162354
235	0.1594481269
236	0.1593391825
237	0.1592163493
238	0.1590804409
239	0.1590282186
240	0.1589428643
241	0.158882643
242	0.1588005168
243	0.1587354669
244	0.1586471558
245	0.1585915154
246	0.1584784783
247	0.1584184299
248	0.15837854
249	0.1582186381
250	0.1580842082
251	0.1579487508
252	0.1578808865
253	0.1577487284
254	0.1576776666
255	0.1576129795
256	0.1575413479
257	0.1574749552
258	0.1573572761
259	0.157171892
260	0.1570356886
261	0.156963579
262	0.1568416884
263	0.1567630683
264	0.1566828478
265	0.1566421882
266	0.1565803867
267	0.1564962158
268	0.1564424201
269	0.1563436008
270	0.1562510342
271	0.1561159261
272	0.1559726257
273	0.1559085999
274	0.1558401015
275	0.1557713657
276	0.1557020399
277	0.1556614109
278	0.1554391412
279	0.1553854167
280	0.1553482327
281	0.1552749125
282	0.1552039083
283	0.1551613702
284	0.155073683
285	0.1549189487
286	0.1548152127
287	0.1547751194
288	0.154695516
289	0.1546311781
290	0.1545082397
291	0.1544423353
292	0.1544006348
293	0.1543445062
294	0.1542652181
295	0.1541649407
296	0.1541173401
297	0.1540627747
298	0.1539523112
299	0.1539048326
300	0.1538306274
301	0.1537853767
302	0.1537291226
303	0.153692627
304	0.1535577121
305	0.153449117
306	0.1534056193
307	0.1533280911
308	0.1531865506
309	0.1530947469
310	0.1530244242
311	0.1529512193
312	0.1528731893
313	0.1528033312
314	0.1526592238
315	0.1524827338
316	0.1524084134
317	0.152323171
318	0.1522706909
319	0.1522196045
320	0.1521788364
321	0.1521077406
322	0.152041904
323	0.1519854635
324	0.1518343913
325	0.1516611159
326	0.1515906169
327	0.151521108
328	0.1514096035
329	0.1513686896
330	0.1512874451
331	0.1511887614
332	0.1510297648
333	0.1509035204
334	0.1507889743
335	0.1507082452
336	0.1506314223
337	0.1505957743
338	0.1505362922
339	0.1504983046
340	0.1504591302
341	0.1503951823
342	0.1503286065
343	0.1502915819
344	0.1501906874
345	0.1501408861
346	0.1500552639
347	0.1499824524
348	0.1499355062
349	0.1498796692
350	0.149765191
351	0.1496763509
352	0.1496328193
353	0.1495599942
354	0.1494147102
355	0.1493864441
356	0.149330329
357	0.1492854546
358	0.1492459547
359	0.1491917792
360	0.1490877787
361	0.1489380561
362	0.1488781637
363	0.148803772
364	0.1487179192
365	0.1486377292
366	0.1485786845
367	0.14847327
368	0.1484024116
369	0.1483624708
370	0.1483287659
371	0.1482746006
372	0.1482482639
373	0.1482168037
374	0.14815055
375	0.1480812107
376	0.1479514635
377	0.147911126
378	0.1478385349
379	0.1477743429
380	0.1476838582
381	0.1476206394
382	0.147553382
383	0.147479577
384	0.1474118958
385	0.1473167013
386	0.1472164408
387	0.1471139492
388	0.1470664334
389	0.1469746704
390	0.1469440138
391	0.1468617723
392	0.1465654636
393	0.1465257229
394	0.146440389
395	0.146358039
396	0.1462987637
397	0.1462501424
398	0.1462161323
399	0.1461810235
400	0.1461239149
401	0.1460252075
402	0.1459579671
403	0.1458989427
404	0.145831994
405	0.1457273831
406	0.1456520928
407	0.1455349731
408	0.1454891663
409	0.1453736945
410	0.1453177219
411	0.1452246365
412	0.1451773546
413	0.14511576
414	0.1450619609
415	0.144986657
416	0.1449216241
417	0.144899214
418	0.144660675
419	0.1445945401
420	0.1444611579
421	0.1444290127
422	0.1443860338
423	0.1443268399
424	0.1442822367
425	0.1442295837
426	0.1441842516
427	0.1440547214
428	0.1439959988
429	0.1439312066
430	0.1438832635
431	0.1438327874
432	0.1437511597
433	0.1436941664
434	0.1435888502
435	0.1435353665
436	0.1434993252
437	0.1434643521
438	0.1434201626
439	0.1433422377
440	0.1432802294
441	0.1431816542
442	0.1431161126
443	0.1430527717
444	0.1429978333
445	0.1429249539
446	0.1428674045
447	0.1427820197
448	0.142683882
449	0.1426248135
450	0.1425686205
451	0.1425106032
452	0.1424690484
453	0.1423853353
454	0.1423483988
455	0.1423114794
456	0.1422645535
457	0.1422164442
458	0.1421309306
459	0.1420612454
460	0.1420103895
461	0.1419390734
462	0.1418648885
463	0.1418167792
464	0.1417547574
465	0.1416905009
466	0.141650828
467	0.1416097989
468	0.1415565796
469	0.1415084127
470	0.1414634976
471	0.1414370761
472	0.1413787299
473	0.1413267449
474	0.1412344055
475	0.1411593696
476	0.1411453586
477	0.141110182
478	0.1410629849
479	0.1410131395
480	0.1409507853
481	0.1408826192
482	0.1408199158
483	0.1407912462
484	0.1407343716
485	0.1407099915
486	0.1406421543
487	0.140586636
488	0.1405393507
489	0.1404640232
490	0.1404094815
491	0.1403798523
492	0.1403080885
493	0.1402397054
494	0.1401667718
495	0.1401324497
496	0.1400852966
497	0.1400502319
498	0.1399793735
499	0.1399479709
500	0.1398904046
501	0.1398454929
502	0.1397967631
503	0.139721578
504	0.1396591966
505	0.1396293369
506	0.1395961948
507	0.1395220913
508	0.1394757962
509	0.1393974643
510	0.1393296678
511	0.1392798191
512	0.1392256877
513	0.139169871
514	0.1390930481
515	0.1390495504
516	0.138988739
517	0.138931366
518	0.1388741591
519	0.1388025581
520	0.1387633192
521	0.1387164408
522	0.1386822645
523	0.1386271261
524	0.1385655924
525	0.1384850193
526	0.1384370287
527	0.1383998176
528	0.138351732
529	0.1382917006
530	0.1382438829
531	0.1381788805
532	0.1381216329
533	0.1380620185
534	0.1380022753
535	0.1379675157
536	0.1379068366
537	0.137849528
538	0.1378253208
539	0.1377617255
540	0.1376935933
541	0.1376388211
542	0.1375855509
543	0.1375366753
544	0.137464386
545	0.1374243198
546	0.1373903639
547	0.1373385179
548	0.1372932977
549	0.1372512817
550	0.1372093201
551	0.1371511197
552	0.1370944451
553	0.1370356784
554	0.1369857279
555	0.1369161716
556	0.1368685608
557	0.1368125814
558	0.1367648078
559	0.1367023214
560	0.1366624858
561	0.136592848
562	0.1365425008
563	0.1365198432
564	0.1364808417
565	0.1364353265
566	0.136390408
567	0.1363288303
568	0.136273329
569	0.1362089301
570	0.13612559
571	0.1360877279
572	0.1360564745
573	0.1360173272
574	0.1359703539
575	0.1359027507
576	0.1358753357
577	0.1358401286
578	0.1357963969
579	0.1357552524
580	0.1356874457
581	0.1355806885
582	0.1355391541
583	0.1354971822
584	0.1354541897
585	0.1354134488
586	0.1353708903
587	0.1352755466
588	0.1352386407
589	0.1351995884
590	0.1351616787
591	0.1351248644
592	0.1350885078
593	0.1350391914
594	0.1348899129
595	0.1348470595
596	0.1348301799
597	0.1347958001
598	0.1347376099
599	0.1346697998
600	0.1346342943
601	0.1345789286
602	0.134540741
603	0.1344456278
604	0.1344048021
605	0.134302124
606	0.1342430996
607	0.1341817356
608	0.1341355557
609	0.1341011658
610	0.134059828
611	0.1340293579
612	0.1339864095
613	0.1339437086
614	0.1339165717
615	0.1338766581
616	0.1338182339
617	0.1337160611
618	0.133672092
619	0.1336412184
620	0.1336146206
621	0.1335852085
622	0.1335136549
623	0.133477339
624	0.1334276564
625	0.1333747355
626	0.1333255717
627	0.1332967326
628	0.1332695482
629	0.133202084
630	0.1331766764
631	0.1331404588
632	0.1331006978
633	0.1330505235
634	0.1330103116
635	0.132969947
636	0.1329146152
637	0.1328668043
638	0.1327892558
639	0.1327488641
640	0.13270519
641	0.132666019
642	0.1326332126
643	0.1325923428
644	0.1325497843
645	0.1325074938
646	0.1324517721
647	0.1324063585
648	0.1323442688
649	0.132282942
650	0.1322269592
651	0.1321877611
652	0.1321231113
653	0.1320735745
654	0.1320061578
655	0.1319753147
656	0.1319265442
657	0.1318491075
658	0.1318068746
659	0.1317598877
660	0.1316857978
661	0.1316378649
662	0.1316139459
663	0.1315793186
664	0.1315443997
665	0.1314701504
666	0.1314400024
667	0.1314063076
668	0.1313144803
669	0.1312513563
670	0.1312141147
671	0.1311819628
672	0.1310678643
673	0.1310317993
674	0.1309921638
675	0.130925354
676	0.1308579746
677	0.1308310445
678	0.1307861159
679	0.1307402174
680	0.130700843
681	0.1306458469
682	0.1306000875
683	0.1305526869
684	0.1304968533
685	0.130452691
686	0.1304203898
687	0.1303809306
688	0.1303302307
689	0.1302687344
690	0.1302300618
691	0.1301940952
692	0.1301478475
693	0.130125451
694	0.1300937025
695	0.1300514628
696	0.130016666
697	0.1299711338
698	0.1299242588
699	0.1298639255
700	0.1297634447
701	0.1297253113
702	0.1296876695
703	0.1296534424
704	0.1296186388
705	0.1295745205
706	0.1295131124
707	0.1294771695
708	0.1294006042
709	0.1293729519
710	0.1293101671
711	0.1292767978
712	0.1292408956
713	0.1291842414
714	0.1291489292
715	0.1290942824
716	0.1290374078
717	0.1290083415
718	0.128979933
719	0.1289381239
720	0.1288928562
721	0.1288546922
722	0.1288038398
723	0.1287609219
724	0.1287074687
725	0.1286706238
726	0.1286477186
727	0.1285860528
