iter	Passed	Remaining
0	164	164056
1	190	95106
2	218	72481
3	233	58169
4	249	49739
5	266	44168
6	284	40335
7	298	37066
8	313	34567
9	329	32601
10	344	30949
11	359	29608
12	374	28462
13	390	27468
14	408	26832
15	423	26042
16	440	25460
17	455	24840
18	476	24582
19	499	24478
20	514	23970
21	528	23510
22	547	23256
23	564	22946
24	581	22693
25	597	22399
26	623	22463
27	647	22460
28	670	22450
29	692	22399
30	714	22342
31	734	22220
32	755	22128
33	1017	28918
34	1181	32582
35	1939	51941
36	2372	61761
37	2536	64217
38	2597	64012
39	2628	63074
40	2646	61911
41	2665	60787
42	2680	59664
43	2697	58606
44	2714	57612
45	2736	56753
46	2755	55876
47	2772	54995
48	2789	54148
49	2807	53337
50	2827	52608
51	2859	52134
52	2879	51452
53	2897	50752
54	2934	50423
55	2977	50185
56	3000	49647
57	3027	49165
58	3062	48847
59	3083	48311
60	3131	48200
61	3223	48761
62	3244	48257
63	3269	47819
64	3288	47301
65	3308	46813
66	3326	46328
67	3344	45843
68	3362	45369
69	3381	44928
70	3403	44533
71	3434	44273
72	3463	43979
73	3491	43696
74	3515	43355
75	3536	42998
76	3560	42675
77	3585	42385
78	3614	42136
79	3637	41835
80	3667	41612
81	3703	41464
82	3732	41238
83	3759	40993
84	3783	40732
85	3815	40554
86	3842	40327
87	3870	40117
88	3899	39912
89	3924	39686
90	3948	39438
91	3970	39191
92	3999	39006
93	4026	38806
94	4049	38581
95	4073	38354
96	4103	38201
97	4139	38096
98	4166	37917
99	4194	37751
100	4219	37560
101	4245	37379
102	4276	37240
103	4307	37109
104	4335	36956
105	4368	36842
106	4393	36671
107	4422	36524
108	4448	36363
109	4475	36210
110	4501	36051
111	4530	35917
112	4561	35805
113	4595	35717
114	4628	35618
115	4658	35498
116	4684	35350
117	4713	35233
118	4742	35106
119	4775	35018
120	4805	34911
121	4836	34807
122	4864	34681
123	4889	34539
124	4916	34413
125	4947	34316
126	4974	34192
127	5004	34091
128	5038	34022
129	5070	33934
130	5103	33854
131	5133	33753
132	5163	33661
133	5196	33581
134	5225	33484
135	5256	33395
136	5289	33323
137	5318	33221
138	5349	33137
139	5382	33064
140	5401	32909
141	5417	32735
142	5433	32562
143	5449	32394
144	5470	32255
145	5494	32137
146	5509	31970
147	5525	31811
148	5541	31646
149	5556	31485
150	5575	31346
151	5592	31198
152	5615	31086
153	5642	30997
154	5663	30875
155	5691	30790
156	5718	30706
157	5747	30630
158	5772	30532
159	5802	30463
160	5831	30390
161	5857	30300
162	5884	30215
163	5915	30153
164	5941	30068
165	5963	29963
166	5989	29875
167	6016	29797
168	6037	29685
169	6061	29596
170	6086	29508
171	6114	29432
172	6143	29366
173	6168	29283
174	6196	29210
175	6225	29146
176	6254	29079
177	6282	29011
178	6310	28944
179	6340	28886
180	6370	28827
181	6399	28762
182	6430	28708
183	6456	28632
184	6481	28553
185	6507	28479
186	6535	28414
187	6562	28346
188	6595	28302
189	6624	28240
190	6652	28179
191	6682	28123
192	6709	28054
193	6726	27946
194	6742	27834
195	6758	27722
196	6775	27618
197	6792	27514
198	6811	27418
199	6833	27334
200	6851	27235
201	6873	27155
202	6896	27077
203	6913	26978
204	6930	26875
205	6958	26821
206	6984	26758
207	7003	26669
208	7020	26568
209	7038	26476
210	7061	26404
211	7083	26328
212	7101	26238
213	7119	26147
214	7137	26058
215	7153	25962
216	7169	25869
217	7186	25778
218	7202	25687
219	7219	25596
220	7238	25514
221	7270	25478
222	7298	25429
223	7327	25384
224	7353	25327
225	7379	25273
226	7405	25216
227	7426	25145
228	7446	25072
229	7475	25025
230	7503	24980
231	7535	24943
232	7563	24896
233	7589	24844
234	7618	24799
235	7645	24749
236	7673	24705
237	7704	24666
238	7731	24619
239	7759	24571
240	7785	24518
241	7809	24461
242	7838	24418
243	7868	24378
244	7893	24325
245	7921	24278
246	7949	24234
247	7975	24183
248	8002	24135
249	8027	24081
250	8055	24039
251	8081	23986
252	8111	23949
253	8134	23890
254	8161	23845
255	8184	23787
256	8210	23735
257	8232	23677
258	8257	23623
259	8279	23565
260	8309	23526
261	8329	23463
262	8352	23404
263	8380	23364
264	8408	23321
265	8433	23270
266	8457	23219
267	8475	23150
268	8493	23080
269	8514	23021
270	8542	22980
271	8562	22917
272	8582	22855
273	8599	22786
274	8619	22724
275	8639	22662
276	8656	22594
277	8672	22523
278	8688	22452
279	8705	22384
280	8722	22317
281	8738	22249
282	8757	22187
283	8777	22128
284	8794	22063
285	8811	21997
286	8826	21928
287	8844	21864
288	8861	21799
289	8878	21738
290	8898	21681
291	8921	21630
292	8943	21579
293	8970	21541
294	8992	21491
295	9016	21445
296	9039	21397
297	9063	21351
298	9087	21304
299	9111	21261
300	9136	21216
301	9159	21168
302	9184	21126
303	9211	21089
304	9239	21053
305	9263	21009
306	9289	20969
307	9314	20927
308	9339	20885
309	9366	20847
310	9389	20802
311	9416	20764
312	9440	20721
313	9466	20682
314	9490	20638
315	9514	20595
316	9543	20562
317	9569	20523
318	9593	20479
319	9618	20439
320	9649	20411
321	9677	20377
322	9704	20340
323	9730	20301
324	9755	20262
325	9779	20218
326	9807	20184
327	9834	20149
328	9866	20122
329	9890	20081
330	9916	20042
331	9939	19999
332	9963	19956
333	9988	19917
334	10012	19876
335	10039	19840
336	10067	19806
337	10086	19755
338	10112	19717
339	10137	19678
340	10160	19635
341	10182	19591
342	10207	19552
343	10234	19516
344	10264	19487
345	10294	19459
346	10319	19420
347	10346	19384
348	10372	19347
349	10398	19310
350	10422	19271
351	10452	19241
352	10482	19212
353	10512	19183
354	10535	19141
355	10554	19093
356	10575	19046
357	10596	19003
358	10648	19012
359	10690	19005
360	10723	18981
361	10754	18954
362	10777	18912
363	10801	18872
364	10826	18834
365	10848	18792
366	10867	18744
367	10896	18713
368	10918	18671
369	10946	18637
370	11018	18680
371	11054	18662
372	11086	18636
373	11230	18797
374	11492	19154
375	11974	19873
376	12140	20062
377	12303	20245
378	12511	20499
379	12716	20748
380	12742	20702
381	12772	20663
382	12798	20618
383	12825	20574
384	12852	20530
385	12881	20490
386	12907	20444
387	12934	20401
388	12964	20363
389	12991	20319
390	13016	20274
391	13033	20215
392	13051	20158
393	13070	20103
394	13099	20063
395	13127	20023
396	13158	19985
397	13189	19949
398	13212	19902
399	13235	19853
400	13262	19810
401	13290	19769
402	13309	19716
403	13334	19671
404	13364	19633
405	13396	19599
406	13429	19566
407	13458	19528
408	13487	19488
409	13512	19444
410	13539	19403
411	13573	19371
412	13600	19330
413	13631	19295
414	13661	19257
415	13689	19217
416	13718	19179
417	13746	19140
418	13777	19104
419	13808	19068
420	13834	19026
421	13857	18979
422	13880	18934
423	13904	18889
424	13931	18848
425	13955	18804
426	13979	18759
427	14001	18712
428	14022	18663
429	14054	18630
430	14080	18588
431	14104	18544
432	14130	18504
433	14156	18462
434	14180	18418
435	14198	18366
436	14218	18317
437	14247	18281
438	14278	18246
439	14298	18198
440	14325	18159
441	14350	18116
442	14367	18064
443	14384	18012
444	14400	17960
445	14424	17917
446	14486	17922
447	14518	17889
448	14542	17845
449	14558	17793
450	14582	17751
451	14601	17702
452	14619	17652
453	14637	17603
454	14654	17553
455	14672	17503
456	14690	17454
457	14710	17408
458	14728	17359
459	14743	17308
460	14762	17259
461	14791	17224
462	14816	17184
463	14835	17137
464	14854	17090
465	14873	17043
466	14897	17002
467	14917	16957
468	14936	16911
469	14955	16864
470	14974	16818
471	14995	16774
472	15014	16728
473	15037	16687
474	15056	16641
475	15075	16595
476	15093	16549
477	15117	16509
478	15139	16466
479	15158	16422
480	15177	16376
481	15196	16331
482	15214	16285
483	15232	16239
484	15250	16194
485	15268	16148
486	15287	16103
487	15305	16058
488	15322	16012
489	15343	15969
490	15362	15925
491	15381	15882
492	15403	15841
493	15422	15797
494	15442	15754
495	15460	15709
496	15477	15663
497	15494	15618
498	15513	15575
499	15536	15536
500	15555	15493
501	15575	15451
502	15596	15410
503	15614	15366
504	15673	15363
505	15822	15447
506	16480	16025
507	17238	16695
508	17265	16654
509	17282	16604
510	17301	16556
511	17319	16508
512	17337	16458
513	17355	16409
514	17374	16362
515	17395	16316
516	17419	16273
517	17454	16241
518	17474	16195
519	17495	16149
520	17514	16102
521	17533	16055
522	17553	16009
523	17578	15968
524	17599	15923
525	17618	15876
526	17637	15830
527	17655	15782
528	17677	15739
529	17698	15694
530	17725	15656
531	17750	15615
532	17778	15576
533	17801	15534
534	17826	15493
535	17854	15456
536	17878	15415
537	17911	15381
538	17940	15344
539	17969	15307
540	18037	15303
541	18092	15288
542	18126	15255
543	18165	15227
544	18224	15215
545	18243	15169
546	18270	15130
547	18289	15085
548	18309	15041
549	18334	15001
550	18357	14959
551	18380	14917
552	18402	14874
553	18424	14832
554	18450	14793
555	18479	14757
556	18506	14718
557	18533	14680
558	18555	14638
559	18584	14601
560	18612	14565
561	18637	14525
562	18663	14486
563	18690	14448
564	18718	14411
565	18743	14372
566	18773	14336
567	18800	14298
568	18829	14263
569	18856	14224
570	18879	14184
571	18906	14146
572	18930	14106
573	18955	14067
574	18980	14028
575	19008	13992
576	19030	13951
577	19053	13910
578	19076	13870
579	19099	13830
580	19123	13791
581	19149	13753
582	19175	13715
583	19206	13681
584	19232	13643
585	19257	13604
586	19278	13564
587	19300	13523
588	19326	13485
589	19351	13447
590	19374	13408
591	19397	13368
592	19423	13331
593	19451	13294
594	19472	13254
595	19496	13215
596	19519	13176
597	19546	13140
598	19570	13101
599	19596	13064
600	19620	13026
601	19655	12994
602	19680	12956
603	19704	12918
604	19727	12879
605	19752	12842
606	19777	12805
607	19800	12766
608	19823	12727
609	19851	12691
610	19878	12655
611	19906	12620
612	19930	12582
613	19956	12545
614	19978	12506
615	20001	12468
616	20024	12429
617	20048	12392
618	20068	12352
619	20093	12315
620	20127	12283
621	20154	12248
622	20181	12212
623	20209	12177
624	20234	12140
625	20259	12104
626	20284	12067
627	20311	12031
628	20338	11996
629	20363	11959
630	20391	11924
631	20417	11888
632	20443	11852
633	20466	11815
634	20491	11778
635	20521	11744
636	20549	11710
637	20577	11675
638	20605	11641
639	20632	11605
640	20659	11570
641	20686	11535
642	20713	11500
643	20743	11466
644	20775	11434
645	20800	11398
646	20829	11364
647	20854	11328
648	20880	11292
649	20905	11256
650	20935	11223
651	20965	11190
652	20989	11153
653	21015	11118
654	21040	11082
655	21062	11045
656	21084	11007
657	21106	10970
658	21132	10934
659	21156	10898
660	21185	10865
661	21213	10831
662	21239	10795
663	21266	10761
664	21293	10726
665	21315	10689
666	21340	10654
667	21364	10618
668	21389	10582
669	21419	10550
670	21444	10514
671	21468	10478
672	21492	10442
673	21513	10405
674	21537	10369
675	21561	10334
676	21584	10297
677	21604	10260
678	21630	10225
679	21660	10193
680	21685	10157
681	21710	10123
682	21736	10088
683	21760	10052
684	21787	10019
685	21813	9984
686	21839	9950
687	21870	9917
688	21893	9882
689	21921	9848
690	21948	9815
691	21976	9781
692	22001	9746
693	22028	9712
694	22058	9680
695	22086	9647
696	22107	9610
697	22124	9572
698	22148	9537
699	22175	9503
700	22201	9469
701	22226	9435
702	22257	9403
703	22287	9370
704	22317	9338
705	22349	9307
706	22377	9273
707	22402	9239
708	22429	9205
709	22457	9172
710	22486	9140
711	22516	9107
712	22542	9074
713	22571	9041
714	22599	9008
715	22626	8974
716	22652	8940
717	22679	8907
718	22706	8874
719	22738	8842
720	22765	8809
721	22792	8775
722	22820	8743
723	22854	8712
724	22879	8678
725	22907	8645
726	22934	8612
727	22962	8579
728	22989	8546
729	23018	8513
730	23044	8480
731	23070	8446
732	23092	8411
733	23112	8376
734	23142	8343
735	23173	8312
736	23201	8279
737	23228	8246
738	23256	8213
739	23292	8183
740	23324	8152
741	23355	8120
742	23379	8086
743	23411	8055
744	23434	8021
745	23457	7986
746	23480	7952
747	23506	7919
748	23531	7885
749	23555	7851
750	23580	7818
751	23602	7783
752	23630	7751
753	23660	7719
754	23685	7686
755	23711	7652
756	23738	7620
757	23764	7587
758	23795	7555
759	23823	7523
760	23851	7490
761	23907	7467
762	23937	7435
763	23965	7402
764	23989	7369
765	24017	7336
766	24043	7303
767	24072	7272
768	24102	7240
769	24129	7207
770	24159	7175
771	24185	7142
772	24212	7110
773	24240	7077
774	24266	7045
775	24296	7013
776	24325	6981
777	24351	6948
778	24376	6915
779	24403	6883
780	24432	6851
781	24466	6820
782	24502	6790
783	24533	6759
784	24571	6729
785	24598	6697
786	24616	6662
787	24644	6630
788	24673	6598
789	24699	6565
790	24727	6533
791	24760	6502
792	24789	6470
793	24815	6438
794	24839	6405
795	24863	6372
796	24887	6338
797	24908	6305
798	24936	6273
799	24967	6241
800	24988	6208
801	25007	6174
802	25032	6141
803	25053	6107
804	25078	6074
805	25103	6042
806	25129	6009
807	25156	5977
808	25185	5946
809	25207	5912
810	25230	5879
811	25253	5846
812	25278	5814
813	25298	5780
814	25321	5747
815	25346	5715
816	25379	5684
817	25407	5653
818	25426	5619
819	25441	5584
820	25466	5552
821	25495	5521
822	25528	5490
823	25555	5458
824	25584	5426
825	25613	5395
826	25646	5365
827	25673	5333
828	25696	5300
829	25722	5268
830	25743	5235
831	25769	5203
832	25798	5172
833	25825	5140
834	25856	5109
835	25883	5077
836	25914	5046
837	25940	5014
838	25969	4983
839	25996	4951
840	26023	4920
841	26076	4893
842	26098	4860
843	26118	4827
844	26145	4796
845	26174	4764
846	26199	4732
847	26228	4701
848	26259	4670
849	26293	4640
850	26323	4608
851	26352	4577
852	26382	4546
853	26409	4514
854	26439	4483
